LXX,LXX_lemma,LXX_strongs,LXX_morph,LXX_morphology,LXX_Part of Speech,LXX_Tense,LXX_Voice,LXX_Mood,LXX_Person,LXX_Number,LXX_Case,LXX_Gender,LXX_xlit,LXX_betacode,WLC,WLC_lemma,WLC_strongs,WLC_morph,WLC_morphology,WLC_Part of Speech,WLC_Tense,WLC_Voice,WLC_Mood,WLC_Person,WLC_Number,WLC_Case,WLC_Gender,WLC_xlit,WLC_betacode
χρυσίον,strong:G5553,G5553,packard:N2N-ASN,N2N-ASN,Noun,,,,,Singular,Accusative,Neuter,betacode:XRUSI/ON,XRUSI/ON,תִּקְח֖וּ,3947,H3947,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,מֵאִתָּ֑ם,m/854,H854,HR/R/Sp3mp,HR/R/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
ἀργύριον,strong:G694,G694,packard:N2N-ASN,N2N-ASN,Noun,,,,,Singular,Accusative,Neuter,betacode:A)RGU/RION,A)RGU/RION,זָהָ֥ב,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,וָכֶ֖סֶף,c/3701,H3701,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
χαλκὸν,strong:G5475,G5475,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:XALKO\N,XALKO\N,וּנְחֹֽשֶׁת,c/5178 a,H5178,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,,,,,,,,,,,,,,,
ὑάκινθον,strong:G5192,G5192,packard:N2-ASF,N2-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:U(A/KINQON,U(A/KINQON,,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,,,,,,,,,,,,,,,
πορφύραν,strong:G4209,G4209,packard:N1A-ASF,N1A-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:PORFU/RAN,PORFU/RAN,,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,,,,,,,,,,,,,,,
κόκκινον,strong:G2847,G2847,packard:A1-ASM,A1-ASM,Adjective,,,,,Singular,Accusative,Masculine,betacode:KO/KKINON,KO/KKINON,,,,,,,,,,,,,,,
διπλοῦν,strong:G1362,G1362,packard:A1C-ASM,A1C-ASM,Adjective,,,,,Singular,Accusative,Masculine,betacode:DIPLOU=N,DIPLOU=N,,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,וּתְכֵ֧לֶת,c/8504,H8504,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
βύσσον,strong:G1040,G1040,packard:N2-ASF,N2-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:BU/SSON,BU/SSON,וְאַרְגָּמָ֛ן,c/713,H713,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
κεκλωσμένην,,,packard:VT-XPPASF,VT-XPPASF,Verb,Perfect,Passive,Participle,,Singular,Accusative,Feminine,betacode:KEKLWSME/NHN,KEKLWSME/NHN,וְתוֹלַ֥עַת,c/8438 a,H8438,HC/Ncbsc,HC/Ncbsc,Noun (Common),,,,,Singular,Construct,Both,,
