word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
חַיֵּיהֶ֜ם,14,2416 e,H2416,HNcmpc/Sp3mp,HNcmpc/Sp3mp,Suffix (Pronominal),,,,3,Plural,Construct,Masculine,,
בַּעֲבֹדָ֣ה,14,b/5656,H5656,HR/Ncfsa,HR/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
קָשָׁ֗ה,14,7186,H7186,HAafsa,HAafsa,Adjective,,,,,Singular,Absolute,Feminine,,
בְּחֹ֨מֶר֙,14,b/2563 a,H2563,HR/Ncmsa,HR/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וּבִלְבֵנִ֔ים,14,c/b/3843,H3843,HC/R/Ncfpa,HC/R/Ncfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
וּבְכָל,14,c/b/3605,H3605,HC/R/Ncmsc,HC/R/Ncmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
עֲבֹדָ֖ה,14,5656,H5656,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
בַּשָּׂדֶ֑ה,14,b/7704 b,H7704,HRd/Ncmsa,HRd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
אֵ֚ת,14,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
כָּל,14,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
עֲבֹ֣דָתָ֔ם,14,5656,H5656,HNcfsc/Sp3mp,HNcfsc/Sp3mp,Suffix (Pronominal),,,,3,Plural,Construct,Masculine,,
אֲשֶׁר,14,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
עָבְד֥וּ,14,5647,H5647,HVqp3cp,HVqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
בָהֶ֖ם,14,b,,HR/Sp3mp,HR/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
בְּפָֽרֶךְ,14,b/6531,H6531,HR/Ncmsa,HR/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וַיֹּ֨אמֶר֙,15,c/559,H559,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
מֶ֣לֶךְ,15,4428,H4428,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
מִצְרַ֔יִם,15,4714,H4714,HNp,HNp,Noun (Proper name),,,,,,,,,
לַֽמְיַלְּדֹ֖ת,15,l/3205,H3205,HRd/Vprfpa,HRd/Vprfpa,Verb,Participle active,Piel,Participle,,Plural,Absolute,Feminine,,
הָֽעִבְרִיֹּ֑ת,15,d/5680,H5680,HTd/Ngfpa,HTd/Ngfpa,Noun (Gentilic),,,,,Plural,Absolute,Feminine,,
אֲשֶׁ֨ר,15,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
שֵׁ֤ם,15,8034,H8034,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
הָֽאַחַת֙,15,d/259,H259,HTd/Acfsa,HTd/Acfsa,c,,,,,,,,,
שִׁפְרָ֔ה,15,8236,H8236,HNp,HNp,Noun (Proper name),,,,,,,,,
וְשֵׁ֥ם,15,c/8034,H8034,HC/Ncmsc,HC/Ncmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
הַשֵּׁנִ֖ית,15,d/8145,H8145,HTd/Aofsa,HTd/Aofsa,o,,,,,,,,,
פּוּעָֽה,15,6326,H6326,HNp,HNp,Noun (Proper name),,,,,,,,,
וַיֹּ֗אמֶר,16,c/559,H559,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
בְּיַלֶּדְכֶן֙,16,b/3205,H3205,HR/Vpc/Sp2fp,HR/Vpc/Sp2fp,Suffix (Pronominal),Infinitive construct,Piel,Infinitive,2,Plural,,Feminine,,
אֶת,16,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
הָֽעִבְרִיּ֔וֹת,16,d/5680,H5680,HTd/Ngfpa,HTd/Ngfpa,Noun (Gentilic),,,,,Plural,Absolute,Feminine,,
וּרְאִיתֶ֖ן,16,c/7200,H7200,HC/Vqq2fp,HC/Vqq2fp,Verb,Sequential perfect,Qal,Indicative,2,Plural,,Feminine,,
עַל,16,5921 a,H5921,HR,HR,Preposition,,,,,,,,,
