heb1.txt,sept1.txt
לּ֥וֹ,κύκλῳ·
מִסְגֶּ֛רֶת,καὶ
טֹ֖פַח,ποιήσεις
סָבִ֑יב,στρεπτὸν
וְעָשִׂ֧יתָ,κυμάτιον
זֵר־זָהָ֛ב,τῇ
לְמִסְגַּרְתּ֖וֹ,στεφάνῃ
סָבִֽיב׃,κύκλῳ.
26,26
,καὶ
,ποιήσεις
,τέσσαρας
וְעָשִׂ֣יתָ,δακτυλίους
לּ֔וֹ,χρυσοῦς
אַרְבַּ֖ע,καὶ
טַבְּעֹ֣ת,ἐπιθήσεις
זָהָ֑ב,τοὺς
וְנָתַתָּ֙,δακτυλίους
אֶת־הַטַּבָּעֹ֔ת,ἐπὶ
עַ֚ל,τὰ
אַרְבַּ֣ע,τέσσαρα
הַפֵּאֹ֔ת,μέρη
אֲשֶׁ֖ר,τῶν
לְאַרְבַּ֥ע,ποδῶν
רַגְלָֽיו׃,αὐτῆς
27,27
,ὑπὸ
,τὴν
,"στεφάνην,"
,καὶ
,ἔσονται
,οἱ
,δακτύλιοι
,εἰς
,θήκας
לְעֻמַּת֙,τοῖς
הַמִּסְגֶּ֔רֶת,ἀναφορεῦσιν
תִּהְיֶ֖יןָ,ὥστε
הַטַּבָּעֹ֑ת,αἴρειν
לְבָתִּ֣ים,ἐν
לְבַדִּ֔ים,αὐτοῖς
לָשֵׂ֖את,τὴν
אֶת־הַשֻּׁלְחָֽן׃,τράπεζαν.
28,28
,καὶ
,ποιήσεις
,τοὺς
,ἀναφορεῖς
,ἐκ
,ξύλων
,ἀσήπτων
,καὶ
,καταχρυσώσεις
וְעָשִׂ֤יתָ,αὐτοὺς
אֶת־הַבַּדִּים֙,χρυσίῳ
עֲצֵ֣י,"καθαρῷ,"
שִׁטִּ֔ים,καὶ
וְצִפִּיתָ֥,ἀρθήσεται
אֹתָ֖ם,ἐν
זָהָ֑ב,αὐτοῖς
וְנִשָּׂא־בָ֖ם,ἡ
אֶת־הַשֻּׁלְחָֽן׃,τράπεζα.
29,29
,καὶ
,ποιήσεις
,τὰ
,τρύβλια
,αὐτῆς
,καὶ
,τὰς
,θυίσκας
,καὶ
,τὰ
,σπονδεῖα
וְעָשִׂ֨יתָ,καὶ
קְּעָרֹתָ֜יו,τοὺς
וְכַפֹּתָ֗יו,"κυάθους,"
וּקְשׂוֹתָיו֙,ἐν
וּמְנַקִּיֹּתָ֔יו,οἷς
אֲשֶׁ֥ר,σπείσεις
יֻסַּ֖ךְ,ἐν
בָּהֵ֑ן,αὐτοῖς·
זָהָ֥ב,χρυσίου
טָה֖וֹר,καθαροῦ
תַּעֲשֶׂ֥ה,ποιήσεις
אֹתָֽם׃,αὐτά.
30,30
,καὶ
,ἐπιθήσεις
,ἐπὶ
,τὴν
וְנָתַתָּ֧,τράπεζαν
עַֽל־הַשֻּׁלְחָ֛ן,ἄρτους
לֶ֥חֶם,ἐνωπίους
פָּנִ֖ים,ἐναντίον
לְפָנַ֥י,μου
תָּמִֽיד׃,διὰ
פ,παντός.
31,31
,Καὶ
,ποιήσεις
,λυχνίαν
,ἐκ
,χρυσίου
,"καθαροῦ,"
,τορευτὴν
,ποιήσεις
,τὴν
,λυχνίαν·
,ὁ
,καυλὸς
,αὐτῆς
,καὶ
וְעָשִׂ֥יתָ,οἱ
מְנֹרַ֖ת,καλαμίσκοι
זָהָ֣ב,καὶ
טָה֑וֹר,οἱ
מִקְשָׁ֞ה,κρατῆρες
תֵּעָשֶׂ֤ה,καὶ
הַמְּנוֹרָה֙,οἱ
יְרֵכָ֣הּ,σφαιρωτῆρες
וְקָנָ֔הּ,καὶ
גְּבִיעֶ֛יהָ,τὰ
כַּפְתֹּרֶ֥יהָ,κρίνα
וּפְרָחֶ֖יהָ,ἐξ
מִמֶּ֥נָּה,αὐτῆς
יִהְיֽוּ׃,ἔσται.
32,32
,ἓξ
,δὲ
,καλαμίσκοι
,ἐκπορευόμενοι
,ἐκ
,"πλαγίων,"
,τρεῖς
,καλαμίσκοι
,τῆς
,λυχνίας
,ἐκ
וְשִׁשָּׁ֣ה,τοῦ
קָנִ֔ים,κλίτους
יֹצְאִ֖ים,αὐτῆς
מִצִּדֶּ֑יהָ,τοῦ
שְׁלֹשָׁ֣ה,ἑνὸς
׀,καὶ
קְנֵ֣י,τρεῖς
מְנֹרָ֗ה,καλαμίσκοι
מִצִּדָּהּ֙,τῆς
הָאֶחָ֔ד,λυχνίας
וּשְׁלֹשָׁה֙,ἐκ
קְנֵ֣י,τοῦ
מְנֹרָ֔ה,κλίτους
מִצִּדָּ֖הּ,τοῦ
הַשֵּׁנִֽי׃,δευτέρου.
33,33
,καὶ
,τρεῖς
שְׁלֹשָׁ֣ה,κρατῆρες
גְ֠בִעִים,ἐκτετυπωμένοι
מְֽשֻׁקָּדִ֞ים,καρυίσκους
בַּקָּנֶ֣ה,ἐν
הָאֶחָד֮,τῷ
כַּפְתֹּ֣ר,ἑνὶ
וָפֶרַח֒,"καλαμίσκῳ,"
וּשְׁלֹשָׁ֣ה,σφαιρωτὴρ
גְבִעִ֗ים,καὶ
מְשֻׁקָּדִ֛ים,κρίνον·
בַּקָּנֶ֥ה,οὕτως
הָאֶחָ֖ד,τοῖς
כַּפְתֹּ֣ר,ἓξ
וָפָ֑רַח,καλαμίσκοις
כֵּ֚ן,τοῖς
לְשֵׁ֣שֶׁת,ἐκπορευομένοις
הַקָּנִ֔ים,ἐκ
הַיֹּצְאִ֖ים,τῆς
מִן־הַמְּנֹרָֽה׃,λυχνίας.
34,34
,καὶ
,ἐν
,τῇ
,λυχνίᾳ
,τέσσαρες
,κρατῆρες
,ἐκτετυπωμένοι
,καρυίσκους·
,ἐν
,τῷ
,ἑνὶ
,καλαμίσκῳ
וּבַמְּנֹרָ֖ה,οἱ
אַרְבָּעָ֣ה,σφαιρωτῆρες
גְבִעִ֑ים,καὶ
מְשֻׁקָּדִ֔ים,τὰ
כַּפְתֹּרֶ֖יהָ,κρίνα
וּפְרָחֶֽיהָ׃,αὐτῆς.
35,35
,ὁ
,σφαιρωτὴρ
,ὑπὸ
,τοὺς
,δύο
,καλαμίσκους
,ἐξ
וְכַפְתֹּ֡ר,"αὐτῆς,"
תַּחַת֩,καὶ
שְׁנֵ֨י,σφαιρωτὴρ
הַקָּנִ֜ים,ὑπὸ
מִמֶּ֗נָּה,τοὺς
וְכַפְתֹּר֙,τέσσαρας
תַּ֣חַת,καλαμίσκους
שְׁנֵ֤י,ἐξ
הַקָּנִים֙,αὐτῆς·
מִמֶּ֔נָּה,οὕτως
וְכַפְתֹּ֕ר,τοῖς
תַּחַת־שְׁנֵ֥י,ἓξ
הַקָּנִ֖ים,καλαμίσκοις
מִמֶּ֑נָּה,τοῖς
לְשֵׁ֨שֶׁת֙,ἐκπορευομένοις
הַקָּנִ֔ים,ἐκ
הַיֹּצְאִ֖ים,τῆς
מִן־הַמְּנֹרָֽה׃,λυχνίας.
36,36
,οἱ
,σφαιρωτῆρες
,καὶ
,οἱ
,καλαμίσκοι
כַּפְתֹּרֵיהֶ֥ם,ἐξ
וּקְנֹתָ֖ם,αὐτῆς
מִמֶּ֣נָּה,ἔστωσαν·
יִהְי֑וּ,ὅλη
כֻּלָּ֛הּ,τορευτὴ
מִקְשָׁ֥ה,ἐξ
אַחַ֖ת,ἑνὸς
זָהָ֥ב,χρυσίου
טָהֽוֹר׃,καθαροῦ.
37,37
,καὶ
,ποιήσεις
,τοὺς
,λύχνους
,αὐτῆς
,ἑπτά·
,καὶ
,ἐπιθήσεις
וְעָשִׂ֥יתָ,τοὺς
אֶת־נֵרֹתֶ֖יהָ,"λύχνους,"
שִׁבְעָ֑ה,καὶ
וְהֶֽעֱלָה֙,φανοῦσιν
אֶת־נֵ֣רֹתֶ֔יהָ,ἐκ
וְהֵאִ֖יר,τοῦ
עַל־עֵ֥בֶר,ἑνὸς
פָּנֶֽיהָ׃,προσώπου.
38,38
,καὶ
,τὸν
,ἐπαρυστῆρα
,αὐτῆς
,καὶ
,τὰ
,ὑποθέματα
,αὐτῆς
וּמַלְקָחֶ֥יהָ,ἐκ
וּמַחְתֹּתֶ֖יהָ,χρυσίου
זָהָ֥ב,καθαροῦ
טָהֽוֹר׃,ποιήσεις.
39,39
כִּכָּ֛ר,
זָהָ֥ב,πάντα
טָה֖וֹר,τὰ
יַעֲשֶׂ֣ה,σκεύη
אֹתָ֑הּ,ταῦτα
אֵ֥ת,τάλαντον
כָּל־הַכֵּלִ֖ים,χρυσίου
הָאֵֽלֶּה׃,καθαροῦ.
40,40
,ὅρα
,ποιήσεις
,κατὰ
,τὸν
וּרְאֵ֖ה,τύπον
וַעֲשֵׂ֑ה,τὸν
בְּתַ֨בְנִיתָ֔ם,δεδειγμένον
אֲשֶׁר־אַתָּ֥ה,σοι
מָרְאֶ֖ה,ἐν
בָּהָֽר׃,τῷ
ס,ὄρει.
