key,word,verse,word_num,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
WLC-Exod-025-009-004,מַרְאֶ֣ה,9,4,7200,H7200,HVhrmsa,HVhrmsa,Verb,Participle active,Hiphil,Participle,,Singular,Absolute,Masculine,,
WLC-Exod-025-009-005,אוֹתְךָ֔,9,5,853,H853,HTo/Sp2ms,HTo/Sp2ms,Suffix (Pronominal),,,,2,Singular,,Masculine,,
WLC-Exod-025-009-006,אֵ֚ת,9,6,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
WLC-Exod-025-009-007,תַּבְנִ֣ית,9,7,8403,H8403,HNcfsc,HNcfsc,Noun (Common),,,,,Singular,Construct,Feminine,,
WLC-Exod-025-009-008,הַמִּשְׁכָּ֔ן,9,8,d/4908,H4908,HTd/Ncmsa,HTd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-009-009,וְאֵ֖ת,9,9,c/853,H853,HC/To,HC/To,Particle (Direct object marker),,,,,,,,,
WLC-Exod-025-009-010,תַּבְנִ֣ית,9,10,8403,H8403,HNcfsc,HNcfsc,Noun (Common),,,,,Singular,Construct,Feminine,,
WLC-Exod-025-009-011,כָּל,9,11,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
WLC-Exod-025-009-012,כֵּלָ֑יו,9,12,3627,H3627,HNcmpc/Sp3ms,HNcmpc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-009-013,וְכֵ֖ן,9,13,c/3651 c,H3651,HC/Tm,HC/Tm,Particle (Demonstrative),,,,,,,,,
WLC-Exod-025-009-014,תַּעֲשֽׂוּ,9,14,6213 a,H6213,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
10,10,10,,,,,,,,,,,,,,,
WLC-Exod-025-010-001,וְעָשׂ֥וּ,10,1,c/6213 a,H6213,HC/Vqq3cp,HC/Vqq3cp,Verb,Sequential perfect,Qal,Indicative,3,Plural,,Common,,
WLC-Exod-025-010-002,אֲר֖וֹן,10,2,727,H727,HNcbsc,HNcbsc,Noun (Common),,,,,Singular,Construct,Both,,
WLC-Exod-025-010-003,עֲצֵ֣י,10,3,6086,H6086,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
WLC-Exod-025-010-004,שִׁטִּ֑ים,10,4,7848,H7848,HNcfpa,HNcfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
WLC-Exod-025-010-005,אַמָּתַ֨יִם,10,5,520 a,H520,HNcfda,HNcfda,Noun (Common),,,,,Dual,Absolute,Feminine,,
WLC-Exod-025-010-006,וָחֵ֜צִי,10,6,c/2677,H2677,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-010-007,אָרְכּ֗וֹ,10,7,753,H753,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-010-008,וְאַמָּ֤ה,10,8,c/520 a,H520,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-010-009,וָחֵ֨צִי֙,10,9,c/2677,H2677,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-010-010,רָחְבּ֔וֹ,10,10,7341,H7341,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-010-011,וְאַמָּ֥ה,10,11,c/520 a,H520,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-010-012,וָחֵ֖צִי,10,12,c/2677,H2677,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-010-013,קֹמָתֽוֹ,10,13,6967,H6967,HNcfsc/Sp3ms,HNcfsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
11,11,11,,,,,,,,,,,,,,,
WLC-Exod-025-011-001,וְצִפִּיתָ֤,11,1,c/6823,H6823,HC/Vpq2ms,HC/Vpq2ms,Verb,Sequential perfect,Piel,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-011-002,אֹתוֹ֙,11,2,853,H853,HTo/Sp3ms,HTo/Sp3ms,Suffix (Pronominal),,,,3,Singular,,Masculine,,
WLC-Exod-025-011-003,זָהָ֣ב,11,3,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-011-004,טָה֔וֹר,11,4,2889,H2889,HAamsa,HAamsa,Adjective,,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-011-005,מִבַּ֥יִת,11,5,m/1004 b,H1004,HR/Ncmsa,HR/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-011-006,וּמִח֖וּץ,11,6,c/m/2351,H2351,HC/R/Ncmsa,HC/R/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-011-007,תְּצַפֶּ֑נּוּ,11,7,6823,H6823,HVpi2ms/Sp3ms,HVpi2ms/Sp3ms,Suffix (Pronominal),Imperfect,Piel,Indicative,3,Singular,,Masculine,,
WLC-Exod-025-011-008,וְעָשִׂ֧יתָ,11,8,c/6213 a,H6213,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-011-009,עָלָ֛יו,11,9,5921 a,H5921,HR/Sp3ms,HR/Sp3ms,Suffix (Pronominal),,,,3,Singular,,Masculine,,
WLC-Exod-025-011-010,זֵ֥ר,11,10,2213,H2213,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
WLC-Exod-025-011-011,זָהָ֖ב,11,11,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-011-012,סָבִֽיב,11,12,5439,H5439,HNcbsa,HNcbsa,Noun (Common),,,,,Singular,Absolute,Both,,
12,12,12,,,,,,,,,,,,,,,
WLC-Exod-025-012-001,וְיָצַ֣קְתָּ,12,1,c/3332,H3332,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
