LXX_key,LXX,WLC_key,WLC
LXX-Exod-025-010-013,μῆκος,WLC-Exod-025-010-001,וְעָשׂ֥וּ
LXX-Exod-025-010-014,καὶ,WLC-Exod-025-010-002,אֲר֖וֹן
LXX-Exod-025-010-015,πήχεος,WLC-Exod-025-010-003,עֲצֵ֣י
LXX-Exod-025-010-016,καὶ,WLC-Exod-025-010-004,שִׁטִּ֑ים
LXX-Exod-025-010-017,ἡμίσους,WLC-Exod-025-010-005,אַמָּתַ֨יִם
LXX-Exod-025-010-018,τὸ,WLC-Exod-025-010-006,וָחֵ֜צִי
LXX-Exod-025-010-019,πλάτος,WLC-Exod-025-010-007,אָרְכּ֗וֹ
LXX-Exod-025-010-020,καὶ,WLC-Exod-025-010-008,וְאַמָּ֤ה
LXX-Exod-025-010-021,πήχεος,WLC-Exod-025-010-009,וָחֵ֨צִי֙
LXX-Exod-025-010-022,καὶ,WLC-Exod-025-010-010,רָחְבּ֔וֹ
LXX-Exod-025-010-023,ἡμίσους,WLC-Exod-025-010-011,וְאַמָּ֥ה
LXX-Exod-025-010-024,τὸ,WLC-Exod-025-010-012,וָחֵ֖צִי
LXX-Exod-025-010-025,ὕψος,WLC-Exod-025-010-013,קֹמָתֽוֹ
11,11,11,11
LXX-Exod-025-011-001,καὶ,,
LXX-Exod-025-011-002,καταχρυσώσεις,,
LXX-Exod-025-011-003,αὐτὴν,,
LXX-Exod-025-011-004,χρυσίῳ,,
LXX-Exod-025-011-005,καθαρῷ,,
LXX-Exod-025-011-006,ἔξωθεν,WLC-Exod-025-011-001,וְצִפִּיתָ֤
LXX-Exod-025-011-007,καὶ,WLC-Exod-025-011-002,אֹתוֹ֙
LXX-Exod-025-011-008,ἔσωθεν,WLC-Exod-025-011-003,זָהָ֣ב
LXX-Exod-025-011-009,χρυσώσεις,WLC-Exod-025-011-004,טָה֔וֹר
LXX-Exod-025-011-010,αὐτήν,WLC-Exod-025-011-005,מִבַּ֥יִת
LXX-Exod-025-011-011,καὶ,WLC-Exod-025-011-006,וּמִח֖וּץ
LXX-Exod-025-011-012,ποιήσεις,WLC-Exod-025-011-007,תְּצַפֶּ֑נּוּ
LXX-Exod-025-011-013,αὐτῇ,WLC-Exod-025-011-008,וְעָשִׂ֧יתָ
LXX-Exod-025-011-014,κυμάτια,WLC-Exod-025-011-009,עָלָ֛יו
LXX-Exod-025-011-015,στρεπτὰ,WLC-Exod-025-011-010,זֵ֥ר
LXX-Exod-025-011-016,χρυσᾶ,WLC-Exod-025-011-011,זָהָ֖ב
LXX-Exod-025-011-017,κύκλῳ,WLC-Exod-025-011-012,סָבִֽיב
12,12,12,12
LXX-Exod-025-012-001,καὶ,,
LXX-Exod-025-012-002,ἐλάσεις,,
LXX-Exod-025-012-003,αὐτῇ,,
LXX-Exod-025-012-004,τέσσαρας,,
LXX-Exod-025-012-005,δακτυλίους,,
LXX-Exod-025-012-006,χρυσοῦς,,
