key,word
LXX-Exod-001-017-011,συνέταξεν
LXX-Exod-001-017-012,αὐταῖς
LXX-Exod-001-017-013,ὁ
LXX-Exod-001-017-014,βασιλεὺς
LXX-Exod-001-017-015,Αἰγύπτου
LXX-Exod-001-017-016,καὶ
LXX-Exod-001-017-017,ἐζωογόνουν
LXX-Exod-001-017-018,τὰ
LXX-Exod-001-017-019,ἄρσενα
18,18
LXX-Exod-001-018-001,ἐκάλεσεν
LXX-Exod-001-018-002,δὲ
LXX-Exod-001-018-003,ὁ
LXX-Exod-001-018-004,βασιλεὺς
LXX-Exod-001-018-005,Αἰγύπτου
LXX-Exod-001-018-006,τὰς
LXX-Exod-001-018-007,μαίας
LXX-Exod-001-018-008,καὶ
LXX-Exod-001-018-009,εἶπεν
LXX-Exod-001-018-010,αὐταῖς
LXX-Exod-001-018-011,τί
LXX-Exod-001-018-012,ὅτι
LXX-Exod-001-018-013,ἐποιήσατε
LXX-Exod-001-018-014,τὸ
LXX-Exod-001-018-015,πρᾶγμα
LXX-Exod-001-018-016,τοῦτο
LXX-Exod-001-018-017,καὶ
LXX-Exod-001-018-018,ἐζωογονεῖτε
LXX-Exod-001-018-019,τὰ
LXX-Exod-001-018-020,ἄρσενα
19,19
LXX-Exod-001-019-001,εἶπαν
LXX-Exod-001-019-002,δὲ
LXX-Exod-001-019-003,αἱ
LXX-Exod-001-019-004,μαῖαι
LXX-Exod-001-019-005,τῷ
LXX-Exod-001-019-006,Φαραω
LXX-Exod-001-019-007,οὐχ
LXX-Exod-001-019-008,ὡς
LXX-Exod-001-019-009,γυναῖκες
LXX-Exod-001-019-010,Αἰγύπτου
LXX-Exod-001-019-011,αἱ
LXX-Exod-001-019-012,Εβραῖαι
LXX-Exod-001-019-013,τίκτουσιν
LXX-Exod-001-019-014,γὰρ
LXX-Exod-001-019-015,πρὶν
LXX-Exod-001-019-016,ἢ
LXX-Exod-001-019-017,εἰσελθεῖν
LXX-Exod-001-019-018,πρὸς
LXX-Exod-001-019-019,αὐτὰς
LXX-Exod-001-019-020,τὰς
LXX-Exod-001-019-021,μαίας
LXX-Exod-001-019-022,καὶ
LXX-Exod-001-019-023,ἔτικτον
20,20
LXX-Exod-001-020-001,εὖ
LXX-Exod-001-020-002,δὲ
LXX-Exod-001-020-003,ἐποίει
LXX-Exod-001-020-004,ὁ
LXX-Exod-001-020-005,θεὸς
LXX-Exod-001-020-006,ταῖς
LXX-Exod-001-020-007,μαίαις
LXX-Exod-001-020-008,καὶ
LXX-Exod-001-020-009,ἐπλήθυνεν
LXX-Exod-001-020-010,ὁ
LXX-Exod-001-020-011,λαὸς
LXX-Exod-001-020-012,καὶ
LXX-Exod-001-020-013,ἴσχυεν
LXX-Exod-001-020-014,σφόδρα
21,21
LXX-Exod-001-021-001,ἐπειδὴ
LXX-Exod-001-021-002,ἐφοβοῦντο
LXX-Exod-001-021-003,αἱ
LXX-Exod-001-021-004,μαῖαι
LXX-Exod-001-021-005,τὸν
LXX-Exod-001-021-006,θεόν
LXX-Exod-001-021-007,ἐποίησαν
LXX-Exod-001-021-008,ἑαυταῖς
LXX-Exod-001-021-009,οἰκίας
22,22
LXX-Exod-001-022-001,συνέταξεν
LXX-Exod-001-022-002,δὲ
LXX-Exod-001-022-003,Φαραω
LXX-Exod-001-022-004,παντὶ
LXX-Exod-001-022-005,τῷ
LXX-Exod-001-022-006,λαῷ
LXX-Exod-001-022-007,αὐτοῦ
LXX-Exod-001-022-008,λέγων
LXX-Exod-001-022-009,πᾶν
LXX-Exod-001-022-010,ἄρσεν
LXX-Exod-001-022-011,ὃ
LXX-Exod-001-022-012,ἐὰν
LXX-Exod-001-022-013,τεχθῇ
LXX-Exod-001-022-014,τοῖς
LXX-Exod-001-022-015,Εβραίοις
LXX-Exod-001-022-016,εἰς
LXX-Exod-001-022-017,τὸν
LXX-Exod-001-022-018,ποταμὸν
LXX-Exod-001-022-019,ῥίψατε
LXX-Exod-001-022-020,καὶ
LXX-Exod-001-022-021,πᾶν
LXX-Exod-001-022-022,θῆλυ
LXX-Exod-001-022-023,ζωογονεῖτε
LXX-Exod-001-022-024,αὐτό
